,RegionName,StateName,Month,Median Sale Price
543,Putnam County,Florida,2014-01,45100.0
9180,Richmond County,North Carolina,2014-10,47600.0
835,Carroll County,Tennessee,2014-01,50300.0
556,Shiawassee County,Michigan,2014-01,53600.0
34700,Montgomery County,Kansas,2017-01,54300.0
22457,Weakley County,Tennessee,2015-12,54500.0
32718,Macoupin County,Illinois,2016-11,56000.0
2539,Knox County,Illinois,2014-03,56100.0
3985,Clayton County,Georgia,2014-05,57200.0
3901,Genesee County,Michigan,2014-05,57900.0
14821,Stephenson County,Illinois,2015-04,58200.0
51360,Lawrence County,Pennsylvania,2018-07,59900.0
3612,Cocke County,Tennessee,2014-04,60000.0
23150,Allegany County,Maryland,2016-01,60200.0
49696,Jefferson County,Pennsylvania,2018-05,60900.0
374,Calhoun County,Michigan,2014-01,61400.0
56255,Jackson County,Florida,2018-12,62100.0
27026,Henry County,Virginia,2016-05,62100.0
730,Mecosta County,Michigan,2014-01,62600.0
16351,Bibb County,Georgia,2015-06,62700.0
