,RegionName,State,StateCodeFIPS,MunicipalCodeFIPS,Month,Price per ft2,FIPS
124277,Monroe County,AL,1,099,2018-10,26.421191366939997,1099
103349,Haskell County,TX,48,207,2017-12,31.245572277270398,48207
126958,Mitchell County,TX,48,335,2018-11,33.3109017496635,48335
126405,Wyoming County,WV,54,109,2018-11,34.1511511511512,54109
96459,Jackson County,AR,5,067,2017-09,36.0,5067
100983,Morris County,TX,48,343,2017-11,36.5430520225001,48343
105082,Falls County,TX,48,145,2018-01,37.2593276172898,48145
79097,Labette County,KS,20,099,2017-01,37.5626043405676,20099
100617,Hutchinson County,TX,48,233,2017-11,38.312274368231,48233
25090,Randolph County,IN,18,135,2014-12,39.819439533239,18135
122726,Greer County,OK,40,055,2018-09,40.031285551763396,40055
128266,Montgomery County,KS,20,125,2018-12,40.367988631342605,20125
60165,Brown County,KS,20,013,2016-04,40.80886785628171,20013
31911,Telfair County,GA,13,271,2015-03,40.9113307485156,13271
33574,Dunklin County,MO,29,069,2015-04,41.1790559591336,29069
80801,Cass County,IN,18,017,2017-02,41.9579780755177,18017
23414,Cass County,IL,17,017,2014-11,42.1156093241838,17017
129104,Stephens County,TX,48,429,2018-12,42.3692887423457,48429
85561,Cherokee County,KS,20,021,2017-04,42.6470588235294,20021
59962,Nolan County,TX,48,353,2016-04,42.6490984743412,48353
