,County,Price per ft2
0,"New York, NY",$1873.99
1,"Nantucket, MA",$1169.19
2,"Pitkin, CO",$1152.47
3,"San Francisco, CA",$1061.51
4,"San Mateo, CA",$890.53
5,"Teton, WY",$859.36
6,"San Miguel, CO",$778.74
7,"Kings, NY",$769.17
8,"Santa Clara, CA",$712.18
9,"Dukes, MA",$681.90
10,"Marin, CA",$665.06
11,"Suffolk, MA",$654.40
12,"Summit, UT",$645.95
13,"Maui, HI",$642.16
14,"Eagle, CO",$587.46
15,"Kauai, HI",$576.12
16,"Honolulu, HI",$570.93
17,"Santa Barbara, CA",$563.18
18,"Santa Cruz, CA",$561.78
19,"District of Columbia, DC",$554.31
