,RegionName,StateName,Month,Sale to List Ratio
20289,San Francisco  ,CA,2015-05,1.168614357
69870,Benton  ,WA,2018-08,1.14261522
64480,Santa Clara  ,CA,2018-04,1.134173462
64545,San Mateo  ,CA,2018-04,1.12640801
62838,Box Elder  ,UT,2018-02,1.1148
74540,Los Alamos  ,NM,2018-11,1.1111
65080,Laramie  ,WY,2018-04,1.09769287
22154,Cascade  ,MT,2015-06,1.096294724
64356,Elmore  ,ID,2018-03,1.094283927
71486,Coryell  ,TX,2018-09,1.090816641
67937,Campbell  ,WY,2018-06,1.089863891
19399,Kootenai  ,ID,2015-04,1.084743596
64485,Alameda  ,CA,2018-04,1.084040722
12848,Davis  ,UT,2014-11,1.083806938
21693,Bell  ,TX,2015-06,1.083021429
52098,Weber  ,UT,2017-06,1.069345902
54035,Medina  ,TX,2017-07,1.06696
14431,Douglas  ,KS,2014-12,1.061675981
68914,Bannock  ,ID,2018-07,1.057834343
10637,La Porte  ,IN,2014-09,1.056673989
